product_id,size,quantity,reserved_quantity,location,min_stock_level,last_updated,id,created_at,updated_at,is_defective,defect_reason,defect_marked_at,defect_image_url,defect_quantity
1e58c55b-6740-40c3-ac79-7506b2c43996,260,1,0,,0,2026-07-05 16:48:52.711039,26974f6d-ddba-44fd-a212-d08497c24164,2026-07-05 16:48:52.711061,2026-07-05 16:48:52.711063,f,,,,0
eb3cb0ca-5523-4fc2-856f-b74fdc7ab2c6,260,2,0,,0,2026-07-05 10:00:41.55415,213f56e6-6ecb-4a1c-8164-d6361cce3ebe,2026-07-05 10:00:41.554151,2026-07-05 10:00:41.554152,f,,,,0
d8b74601-bdc1-4925-b251-322e8edae104,240,1,0,,0,2026-07-05 10:00:41.554142,62af8fd0-85cd-4aaf-8fa9-c26a0a63aaf4,2026-07-05 10:00:41.554147,2026-07-05 10:00:41.554148,f,,,,0
9a814b78-fdad-4a59-8d1c-fa3504f518a8,265,97,0,,0,2026-07-05 10:00:41.548356,8d7c88ca-d51c-4b0f-90ac-4025e8ce13cf,2026-01-12 07:22:57.69338,2026-07-05 10:00:41.548357,f,,,,0
9a814b78-fdad-4a59-8d1c-fa3504f518a8,260,97,0,,0,2026-07-05 10:00:41.548354,8749385b-6321-4c8a-9a7f-38f32a24f23f,2026-01-12 07:22:57.69338,2026-07-05 10:00:41.548355,f,,,,0
eb3cb0ca-5523-4fc2-856f-b74fdc7ab2c6,270,3,0,,0,2026-07-05 10:00:41.548346,2e7830fb-ab50-4c21-9ab5-9b9ae4c35d8d,2026-07-05 09:54:07.667238,2026-07-05 10:00:41.548352,f,,,,0
9a814b78-fdad-4a59-8d1c-fa3504f518a8,290,105,0,,0,2026-01-12 07:43:48.54703,9ca266c9-e8aa-4502-860f-9106665496ac,2026-01-12 07:23:29.687633,2026-01-12 07:23:29.687633,f,,,,0
9a814b78-fdad-4a59-8d1c-fa3504f518a8,295,19,0,,0,2026-01-12 07:43:48.54703,ee011749-dd4e-4de7-8769-af7416ce467d,2026-01-12 07:23:29.687633,2026-01-12 07:23:29.687633,f,,,,0
9a814b78-fdad-4a59-8d1c-fa3504f518a8,285,214,0,,0,2026-01-12 07:43:48.54703,4b3fdb3f-afa0-4476-b1de-4efe9cada262,2026-01-12 07:23:17.841043,2026-01-12 07:23:17.841043,f,,,,0
9a814b78-fdad-4a59-8d1c-fa3504f518a8,280,153,0,,0,2026-01-12 07:43:48.54703,cf2af6f6-64a0-4352-8402-6829189e64eb,2026-01-12 07:23:17.841043,2026-01-12 07:23:17.841043,f,,,,0
9a814b78-fdad-4a59-8d1c-fa3504f518a8,270,160,0,,0,2026-01-12 07:43:43.158695,04af5bf6-ed79-4add-be12-754f45958dd2,2026-01-12 07:22:57.69338,2026-01-12 07:22:57.69338,f,,,,0
9a814b78-fdad-4a59-8d1c-fa3504f518a8,275,115,0,,0,2026-01-12 07:43:43.158695,0084efc3-4833-40f6-8223-586020c93039,2026-01-12 07:23:17.841043,2026-01-12 07:23:17.841043,f,,,,0
9a814b78-fdad-4a59-8d1c-fa3504f518a8,300,1,0,,0,2026-01-12 07:23:29.687633,8f26cf4e-0d78-4c4f-b4d4-69ae8104b4bf,2026-01-12 07:23:29.687633,2026-01-12 07:23:29.687633,f,,,,0
9a814b78-fdad-4a59-8d1c-fa3504f518a8,220,101,0,,0,2026-01-12 07:23:29.687633,c9501c58-9ede-4320-a531-a5215bccba1e,2026-01-12 07:23:29.687633,2026-01-12 07:23:29.687633,f,,,,0
9a814b78-fdad-4a59-8d1c-fa3504f518a8,245,4,0,,0,2026-01-12 07:23:17.841043,c1c1d6d4-f8cf-4c35-a761-98861f8da900,2026-01-12 07:23:17.841043,2026-01-12 07:23:17.841043,f,,,,0
9a814b78-fdad-4a59-8d1c-fa3504f518a8,250,2,0,,0,2026-01-12 07:23:17.841043,9ae60f57-4028-42f2-88ac-0e4e1d0103f3,2026-01-12 07:23:17.841043,2026-01-12 07:23:17.841043,f,,,,0
