id,product_id,quantity,reserved_quantity,location,min_stock_level,last_updated,created_at,updated_at
7276e8f1-472e-425b-b3ed-a4da7dc93171,8c426c66-ddbe-47db-a8a5-205797cf4b1c,0,0,온라인,0,2025-10-08 15:44:25.924779+00,2025-10-08 15:44:25.924779+00,2025-10-08 15:44:25.924779+00
b7a5324b-bfad-43b1-be25-daaf127ed854,a5233be6-b03b-49b9-848e-8f294ef5271c,0,0,온라인,0,2025-10-08 15:44:25.921275+00,2025-10-08 15:44:25.921275+00,2025-10-08 15:44:25.921275+00
1a3c7586-6d2e-4aec-8292-091a7679fbf5,7d32cd3c-b014-4b9b-89a3-c851558fcb99,0,0,온라인,0,2025-10-08 15:44:25.91827+00,2025-10-08 15:44:25.91827+00,2025-10-08 15:44:25.91827+00
d3ed69af-e6a5-4c39-9da7-3d034b682c22,2548416d-b683-4a4c-a851-0c0d7fb12384,0,0,온라인,0,2025-10-08 15:44:25.915768+00,2025-10-08 15:44:25.915768+00,2025-10-08 15:44:25.915768+00
bc466463-bb21-45cf-a606-f9464c63acde,52034e2f-f931-4c81-83d8-bd7a22245fe4,0,0,온라인,0,2025-10-08 15:44:25.912444+00,2025-10-08 15:44:25.912444+00,2025-10-08 15:44:25.912444+00
2ad84295-cff8-491b-81d6-c9dfc45caf60,d6d5e9b8-4e9d-47db-a989-e1cd57d63306,0,0,온라인,0,2025-10-08 15:44:25.908841+00,2025-10-08 15:44:25.908841+00,2025-10-08 15:44:25.908841+00
93e0160e-2273-4fe4-85cf-42f30a7fa326,61e0baae-73da-4a99-ace1-c9a23758c5df,0,0,온라인,0,2025-10-08 15:44:25.905841+00,2025-10-08 15:44:25.905841+00,2025-10-08 15:44:25.905841+00
b2d7d099-17e5-48f6-87dc-e20017194216,1ea94796-4329-4bb7-b997-131376bf3894,0,0,온라인,0,2025-10-08 15:44:25.903334+00,2025-10-08 15:44:25.903334+00,2025-10-08 15:44:25.903334+00
54eda9a4-7648-4be0-aa57-e6f997632d90,5e6ba230-0ff0-4095-8744-19aff6beb92a,0,0,온라인,0,2025-10-08 15:44:25.900333+00,2025-10-08 15:44:25.900333+00,2025-10-08 15:44:25.900333+00
1fb134c5-223e-4013-bbcd-cc76f8fd415b,4612f77d-424f-4d81-ab8a-6c50ccb8b4e0,0,0,온라인,0,2025-10-08 15:44:25.896329+00,2025-10-08 15:44:25.896329+00,2025-10-08 15:44:25.896329+00
cf60b7b5-e1b6-495a-a15b-0b1179b751b7,ba1d40f7-f0d7-484e-9322-73bd73a0d9ed,0,0,온라인,0,2025-10-08 15:44:25.89369+00,2025-10-08 15:44:25.89369+00,2025-10-08 15:44:25.89369+00
5b321734-171c-4438-86fc-03198d98508e,62e6cede-0134-4025-8afc-ce625b2711ee,0,0,온라인,0,2025-10-08 15:44:25.890186+00,2025-10-08 15:44:25.890186+00,2025-10-08 15:44:25.890186+00
cdbf53bd-26bc-43ea-97f8-78f9944904f4,fca5a10c-6189-4f0d-88e8-63b5674b2c11,0,0,온라인,0,2025-10-08 15:44:25.887189+00,2025-10-08 15:44:25.887189+00,2025-10-08 15:44:25.887189+00
f6764b26-6312-4df7-b7a2-b2f4de15fa95,86501c1e-4d5a-4af8-9a23-f18d6d902f0d,0,0,온라인,0,2025-10-08 15:44:25.884187+00,2025-10-08 15:44:25.884187+00,2025-10-08 15:44:25.884187+00
68ad507f-45b0-4a46-9f58-1b4a35584ec6,1ec96333-37d1-4047-91eb-f20d41230079,0,0,온라인,0,2025-10-08 15:44:25.880564+00,2025-10-08 15:44:25.880564+00,2025-10-08 15:44:25.880564+00
13165f3f-f5fa-405b-8e5a-ea1bdb675881,eb27e0d4-55b4-48c8-a6be-d5efc08237ad,0,0,온라인,0,2025-10-08 15:44:25.876564+00,2025-10-08 15:44:25.876564+00,2025-10-08 15:44:25.876564+00
6a1a751e-b762-4c3e-8707-a1473cc3f4d2,14dfb21b-46b4-4b28-8d4e-a9f381195297,0,0,온라인,0,2025-10-08 15:44:25.873562+00,2025-10-08 15:44:25.873562+00,2025-10-08 15:44:25.873562+00
